Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF_x,PTS,target,PF_y,SF,SG,C,PG,SG-SF,PF-SF,SG-PG,SF-PF,PF-C,C-PF,MEM,CHA,BOS,PHI,ORL,MIA,MIN,OKC,HOU,UTA,SAC,GSW,LAL,NYK,DET,MIL,IND,DEN,ATL,CLE,PHO,NOK,CHI,WAS,NJN,SAS,POR,LAC,DAL,TOR,TOT
Jaren Jackson Jr.,19,58,56.0,1515,298,589,0.506,51,142,0.359,247,447,0.553,0.549,151,197,0.766,73,199,272,64,52,82,98,220,798,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Vonleh,19,25,0.0,259,30,76,0.395,5,13,0.385,25,63,0.397,0.428,18,26,0.692,28,58,86,4,4,9,11,20,83,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jayson Tatum,19,80,80.0,2443,397,835,0.475,105,242,0.434,292,593,0.492,0.538,213,258,0.826,50,352,402,128,83,58,114,170,1112,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markelle Fultz,19,14,0.0,253,45,111,0.405,0,1,0.0,45,110,0.409,0.405,10,21,0.476,11,32,43,53,12,4,17,22,100,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maurice Harkless,19,76,59.0,1974,260,564,0.461,32,117,0.274,228,447,0.51,0.489,73,128,0.57,122,213,335,50,88,62,69,144,625,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justise Winslow,19,78,8.0,2232,195,462,0.422,32,116,0.276,163,346,0.471,0.457,80,117,0.684,81,322,403,117,68,26,95,184,502,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,19,82,82.0,2969,497,1137,0.437,39,126,0.31,458,1011,0.453,0.454,354,466,0.76,134,240,374,170,86,50,177,190,1387,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Gordon,19,47,8.0,797,93,208,0.447,13,48,0.271,80,160,0.5,0.478,44,61,0.721,46,123,169,33,21,22,38,83,243,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Wroten,19,35,0.0,272,33,86,0.384,4,16,0.25,29,70,0.414,0.407,21,29,0.724,13,15,28,43,8,4,29,34,91,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Durant,19,80,80.0,2768,587,1366,0.43,59,205,0.288,528,1161,0.455,0.451,391,448,0.873,70,278,348,192,78,75,232,122,1624,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
