,Player,Year
0,Joe Barry Carroll,1980
1,Darrell Griffith,1980
2,Kevin McHale,1980
3,Kelvin Ransey,1980
4,James Ray,1980
5,Mike O'Koren,1980
6,Mike Gminski,1980
7,Andrew Toney,1980
8,Michael Brooks,1980
9,Ronnie Lester,1980
10,Kiki Vandeweghe,1980
11,Mike Woodson,1980
12,Rickey Brown,1980
13,Wes Matthews,1980
14,Reggie Johnson,1980
15,Hawkeye Whitney,1980
16,Larry Drew,1980
17,Don Collins,1980
18,John Duren,1980
19,Bill Hanzlik,1980
22,Carl Nicks,1980
24,Player,1980
25,Larry Smith,1980
26,Jeff Ruland,1980
27,Sam Worthen,1980
29,Craig Shelton,1980
30,Louis Orr,1980
31,Kenny Natt,1980
32,Wayne Robinson,1980
36,Rick Mahorn,1980
37,DeWayne Scales,1980
38,Butch Carter,1980
40,Michael Wiley,1980
42,Jawann Oldham,1980
46,Brad Branson,1980
49,Player,1980
50,Kurt Nimphius,1980
53,James Wilkes,1980
54,Ronnie Valentine,1980
55,Lowes Moore,1980
59,Mike Harper,1980
61,Kurt Rambis,1980
74,Player,1980
75,Darwin Cook,1980
80,Rory Sparrow,1980
99,Player,1980
100,Tony Fuller,1980
110,Darrell Allums,1980
124,Player,1980
149,Player,1980
152,Lorenzo Romar,1980
173,Player,1980
181,John Stroeder,1980
182,Clarence Kea,1980
194,Player,1980
197,Billy Reid,1980
216,Player,1980
0,Mark Aguirre,1981
1,Isiah Thomas,1981
2,Buck Williams,1981
3,Al Wood,1981
4,Danny Vranes,1981
5,Orlando Woolridge,1981
6,Steve Johnson,1981
7,Tom Chambers,1981
8,Rolando Blackman,1981
9,Albert King,1981
10,Frank Johnson,1981
11,Kelly Tripucka,1981
12,Danny Schayes,1981
13,Herb Williams,1981
14,Jeff Lamp,1981
15,Darnell Valentine,1981
16,Kevin Loder,1981
17,Ray Tolbert,1981
18,Mike McGee,1981
19,Larry Nance,1981
20,Alton Lister,1981
21,Franklin Edwards,1981
22,Charles Bradley,1981
24,Player,1981
25,Jay Vincent,1981
